Property ID,Column,Value in File 1,Value in File 2
PT-1014-1417936,Owner Id,"['d8ab66d6-d313-4c4e-8f75-d60b5c04b4df', 'facc8917-8641-43f4-bf95-06c65a907e95', '10da8067-adf8-4876-8b53-0d803843f77a', '0fe7d8b0-e38e-4b08-85f7-5bd6e726c3f9']","['10da8067-adf8-4876-8b53-0d803843f77a', 'facc8917-8641-43f4-bf95-06c65a907e95', '0fe7d8b0-e38e-4b08-85f7-5bd6e726c3f9', 'd8ab66d6-d313-4c4e-8f75-d60b5c04b4df']"
PT-1014-1698234,Owner Id,"['7457979b-19f4-4980-ba20-91dacd257561', '469c96a4-2576-40c8-a767-35c936062f2c']","['469c96a4-2576-40c8-a767-35c936062f2c', '7457979b-19f4-4980-ba20-91dacd257561']"
PT-1014-1734267,Owner Id,"['ab7f3136-4464-4f6b-a03a-f032815ef3f9', 'e2eb20fe-0b11-408b-9cdb-4e2b5e46e07c']","['e2eb20fe-0b11-408b-9cdb-4e2b5e46e07c', 'ab7f3136-4464-4f6b-a03a-f032815ef3f9']"
PT-1014-887629,Owner Id,"['7b5dec2a-220e-4ef9-8758-de825a7fd460', 'd30bcd10-319a-4ac4-a1f5-261c776d9b51']","['d30bcd10-319a-4ac4-a1f5-261c776d9b51', '7b5dec2a-220e-4ef9-8758-de825a7fd460']"
PT-1014-1423500,Owner Id,"['0d4a2823-41c9-4b98-af8d-05a0fe9e2aba', '5e53cf46-9f0c-46e0-a0c4-a66a160a08d9']","['5e53cf46-9f0c-46e0-a0c4-a66a160a08d9', '0d4a2823-41c9-4b98-af8d-05a0fe9e2aba']"
PT-1014-713371,Owner Id,"['cca33770-64a0-40d2-8ba7-de0e8cf996c3', '180fd57c-edf9-443d-828a-33ab0fbf7d82', 'a73a22cb-56a0-47e5-8051-f37feb1a964f']","['180fd57c-edf9-443d-828a-33ab0fbf7d82', 'a73a22cb-56a0-47e5-8051-f37feb1a964f', 'cca33770-64a0-40d2-8ba7-de0e8cf996c3']"
PT-1014-902808,Owner Id,"['a2f3e8e7-ddc3-47cb-b384-d18302641784', '0c5fc217-8645-45fb-8b24-4d80c7666719', 'cf029793-a1ae-4242-bb46-9f28600fde7b']","['0c5fc217-8645-45fb-8b24-4d80c7666719', 'a2f3e8e7-ddc3-47cb-b384-d18302641784', 'cf029793-a1ae-4242-bb46-9f28600fde7b']"
PT-1014-911365,Owner Id,"['a04ed854-3c81-454d-b14b-29b50c58cfde', '290a8112-a558-4d36-8166-1915e13ddeb9']","['290a8112-a558-4d36-8166-1915e13ddeb9', 'a04ed854-3c81-454d-b14b-29b50c58cfde']"
PT-1014-1483876,Owner Id,"['33058969-91bf-429d-8b67-a084365bf3bc', '10b950b0-cb7f-4438-93e0-37b5af91f643']","['10b950b0-cb7f-4438-93e0-37b5af91f643', '33058969-91bf-429d-8b67-a084365bf3bc']"
PT-1014-1734978,Owner Id,"['ce4eceed-a00b-42ab-9433-42eb3741e9bb', 'a2d32ee3-dc11-48bd-a237-8c3ffba98cd9', '57f28119-6d76-4c0c-a0fd-ce65173a0c55', '89ee5b32-1963-4667-9996-d6a0b077e1b5']","['89ee5b32-1963-4667-9996-d6a0b077e1b5', '57f28119-6d76-4c0c-a0fd-ce65173a0c55', 'ce4eceed-a00b-42ab-9433-42eb3741e9bb', 'a2d32ee3-dc11-48bd-a237-8c3ffba98cd9']"
PT-1014-863711,Owner Id,"['919e7f71-767b-4c3b-9674-43431c4344b7', '326a0dea-87e0-4e8e-b537-340c29b49aa5']","['326a0dea-87e0-4e8e-b537-340c29b49aa5', '919e7f71-767b-4c3b-9674-43431c4344b7']"
PT-1014-998374,Owner Id,"['6e3cf46e-d591-441d-aea8-28f1b0d25f15', '6acb4a9f-5329-472a-9587-dc55dfb74bfc', 'b673bc23-a3de-43af-a79f-4e8503427101', '5b6611d1-e834-4026-ba38-e565fe3db5c8']","['5b6611d1-e834-4026-ba38-e565fe3db5c8', '6e3cf46e-d591-441d-aea8-28f1b0d25f15', '6acb4a9f-5329-472a-9587-dc55dfb74bfc', 'b673bc23-a3de-43af-a79f-4e8503427101']"
PT-1014-712330,Owner Id,"['e99c6339-50b0-4334-a963-d404aac0f364', '57750f7a-3a49-42d4-8ab3-23fb93b893a2']","['57750f7a-3a49-42d4-8ab3-23fb93b893a2', 'e99c6339-50b0-4334-a963-d404aac0f364']"
PT-1014-1025898,Owner Id,"['5e9c896c-8b1b-4ff8-ab3b-21fabfab31df', '0427cbf4-e690-4c87-8a3d-176bbbce6f7e']","['0427cbf4-e690-4c87-8a3d-176bbbce6f7e', '5e9c896c-8b1b-4ff8-ab3b-21fabfab31df']"
PT-1014-705674,Owner Id,"['0dac9cd1-11ea-433e-8e2a-a470bd1964a4', '7cc22da4-9f7a-4219-8815-573a234c61b0']","['7cc22da4-9f7a-4219-8815-573a234c61b0', '0dac9cd1-11ea-433e-8e2a-a470bd1964a4']"
PT-1014-1031059,Owner Id,"['73ba952d-ad05-4f4e-bde0-24947c7b6bcd', 'ffb56d94-bfdb-4a21-9534-b0b2bdcf86c4']","['ffb56d94-bfdb-4a21-9534-b0b2bdcf86c4', '73ba952d-ad05-4f4e-bde0-24947c7b6bcd']"
PT-1014-870256,Owner Id,"['73ba952d-ad05-4f4e-bde0-24947c7b6bcd', 'ffb56d94-bfdb-4a21-9534-b0b2bdcf86c4']","['ffb56d94-bfdb-4a21-9534-b0b2bdcf86c4', '73ba952d-ad05-4f4e-bde0-24947c7b6bcd']"
PT-1014-1531404,Owner Id,"['800931d4-9ba7-4ac2-9533-6afbb80546da', '6393fa6f-dd80-486a-a341-acbdf70b9898']","['6393fa6f-dd80-486a-a341-acbdf70b9898', '800931d4-9ba7-4ac2-9533-6afbb80546da']"
PT-1014-755894,Owner Id,"['f41aed4e-8fff-4097-89de-188f0f653c19', 'c48b5a98-5a8f-44cc-be04-c0b0b5997e83']","['c48b5a98-5a8f-44cc-be04-c0b0b5997e83', 'f41aed4e-8fff-4097-89de-188f0f653c19']"
