Property ID,Owner Id,Locality,Plot size,Propertyusagetype,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,YearOfConstruction
PT-1014-761677,['125b78e9-2cc7-4751-8085-d1885406d991'],['PLC13'],300.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,0,0,
PT-1014-761686,"['125b78e9-2cc7-4751-8085-d1885406d991', '9c9ed790-cd6f-4a13-99c3-c43497f5c8d5']",['PLC13'],200.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,0,0,
PT-1014-761714,['9c9ed790-cd6f-4a13-99c3-c43497f5c8d5'],['PLC81'],180.0,RESIDENTIAL,0.0,0,0,0,0,0,0,"Demand not generated, hence not paid",0,0,0,0,
PT-1014-761885,['807d0462-cfc7-4264-a52a-52b76f339134'],['PLC186'],100.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,0,0,
PT-1014-761896,"['6e9443ce-711b-41b0-9ce3-128e3a2116f0', 'c0d91887-7c10-4989-834a-7d78d2ae5ea6']",['PLC186'],100.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,0,0,
PT-1014-761906,"['6e9443ce-711b-41b0-9ce3-128e3a2116f0', '807d0462-cfc7-4264-a52a-52b76f339134']",['PLC186'],120.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,0,0,
PT-1014-761954,"['5652185f-391d-4c3c-b6d9-0e8608e6c2e1', '65a2a152-bda6-4935-9919-1ec610444886']",['PLC112'],302.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,880,833,779,717,599,
PT-1014-762156,['499e624e-b7c7-4574-93b1-d9835b7c225f'],['PLC204'],242.0,RESIDENTIAL,,,,,,,0,480,454,425,391,327,
PT-1014-762530,['24a371e8-dca0-42c0-92f3-918041bf7c7f'],['PLC112'],302.0,RESIDENTIAL,,,,,,,0,"Demand not generated, hence not paid",0,0,0,0,
PT-1014-762536,['84f09f9f-a72f-4ffa-88db-befb3a180d0e'],['PLC184'],100.0,RESIDENTIAL,,,,,,,0,0,0,0,0,"Demand not generated, hence not paid",
PT-1014-762583,"['5b7677cf-fa4c-4e54-a473-0afe2dbaed08', '46bbbe75-dcf9-4cd4-bad6-af4369ccc653']",['PLC164'],480.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,0,0,
PT-1014-762604,['e60794a4-73dc-4c80-85f9-aa221d8f19ad'],['PLC35'],11.0,NONRESIDENTIAL.COMMERCIAL,,,,,0,0,0,568,541,509,473,402,
PT-1014-762618,['7d0ad0a6-0deb-4532-9ca8-20fbf6a12c00'],['PLC38'],142.0,RESIDENTIAL,,0,0,0,0,0,0,0,0,60,0,352,
PT-1014-762631,['1f2237ce-0a6a-4adf-ba2f-e1427e5e3670'],['PLC136'],300.0,RESIDENTIAL,,,,,,,0,778,736,689,634,529,
PT-1014-762905,['fef034ed-1d74-41fa-8792-4059da0ee5cf'],['PLC134'],190.0,RESIDENTIAL,,,,,,,0,"Demand not generated, hence not paid","Demand not generated, hence not paid",0,564,471,
PT-1014-763187,['d1066872-c1b5-4c3b-9e32-729c7cd58316'],['PLC77'],113.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,0,0,
PT-1014-763208,['cd022139-c5cd-4095-8bf8-095098a96e9c'],['PLC2'],720.0,NONRESIDENTIAL.INSTITUTIONAL,,0,0,0,0,0,0,3461,3294,3101,2880,2450,
PT-1014-763261,['962ce7d8-4f66-459d-bec6-fd8577eff44e'],['PLC31'],282.0,RESIDENTIAL,,,,,,,0,0,0,721,663,554,
PT-1014-763276,['0ff7d409-111f-40de-9edf-6c27fc8f4ad3'],['PLC180'],40.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,0,0,"Demand not generated, hence not paid",0,0,
PT-1014-763299,"['51b21202-3a07-4113-9049-1928699645ba', 'b2d7581e-ce7c-4793-9de2-07ffe42041bb']",['PLC157'],100.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,0,0,6202,5760.2,4901,
PT-1014-763339,['2df07a56-ad6b-4540-8981-2c0d4d702430'],['PLC2'],356.0,NONRESIDENTIAL.INSTITUTIONAL,,0,0,0,0,0,0,841,803,760,709,575,
PT-1014-763419,['f4d41488-36ff-49c4-9990-e2f739960b64'],['PLC2'],179.0,RESIDENTIAL,,,,,0,0,0,928,882,829,767,609,
PT-1014-763453,"['ea44a469-78c5-4c60-97ea-68037f50ea7e', '01129c37-75a8-4028-a75a-117c49700eea']",['PLC149'],400.0,RESIDENTIAL,,,,,,,0,0,"Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,
PT-1014-763492,['32a2413a-254a-4ded-9e49-f3d133c36dc5'],['PLC15'],142.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,0,0,0,0,0.22,
PT-1014-763518,['83235842-ca1c-4468-acfc-6b44353b2ab0'],['PLC188'],7.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,0,0,0,299,251,
